,43.0,17.2,6.880000000000002,2.7520000000000007,1.1008000000000002,0.4403200000000001,0.17612800000000006,0.07045120000000002,0.028180480000000015,0.011272192000000006,0.004508876800000002,0.0018035507200000011,0.0007214202880000004,0.0002885681152000002,0.00011542724608000009,4.617089843200004e-05
1_117G_AMP_t1,53.5,53.0,53.5,53.0,52.0,51.5,51.0,50.5,50.5,50.5,50.5,49.5,49.5,50.0,50.0,49.5
2_117G_AMP_t2,53.5,,53.5,53.0,52.5,51.5,50.5,51.0,50.5,50.5,50.5,50.0,50.0,50.0,50.5,49.5
3_164G_AMP_t1,54.0,54.0,54.0,53.5,52.5,51.5,50.5,50.0,50.0,50.0,50.0,49.5,49.5,49.0,49.5,49.0
4_164G_AMP_t2,53.5,54.0,53.5,53.5,52.5,51.5,51.0,50.0,50.0,49.5,49.0,49.5,49.0,49.0,48.5,49.0
5_117-164G_AMP_t1,,50.5,50.5,50.0,48.5,48.5,48.0,47.0,47.0,48.0,47.0,47.5,47.5,46.5,47.5,
6_117-164G_AMP_t2,,,50.5,49.5,49.0,47.5,48.5,47.5,47.0,46.5,47.5,47.5,47.0,,47.0,47.5
7_WT_AMP_t1,57.5,57.5,57.0,56.5,56.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5
8_WT_AMP_t2,57.5,57.5,57.0,,56.0,56.0,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5
