,36.25,14.5,5.8,2.32,0.928,0.3712,0.14848,0.059392,0.0237568,0.00950272,0.003801088,0.001520435,0.000608174,0.00024327,9.73E-05,3.89E-05
1_L82V_AMP_t1,,,57,56.5,55.5,55,55,54.5,55.5,55,55,54.5,55,55,55,55
3_L82V_AMP_t2,58,57.5,57.5,56,55.5,55,55,55,55,55,55,55,55,55,55,55
5_117-164G_AMP_t1,,50,49.5,50,48.5,49,47,48,48,46,47,48.5,47,47.5,48,46
7_117-164G_AMP_t2,,,50,50,48.5,48.5,46.5,47,46.5,46.5,47,48.5,47,46.5,45,47.5
9_WT_AMP_t1,60,56,57.5,56.5,55.5,55,55,55.5,55,55.5,55.5,55.5,55.5,55.5,55,55
11_WT_AMP_t2,57,,56.5,56.5,56.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55,55,55
