,59.5,23.8,9.520000000000001,3.8080000000000007,1.5232000000000003,0.6092800000000002,0.2437120000000001,0.09748480000000004,0.03899392000000002,0.015597568000000008,0.006239027200000004,0.0024956108800000014,0.0009982443520000007,0.0003992977408000003,0.00015971909632000013,6.388763852800005e-05
9_L82V-117G_ATP_t1,,57.0,57.5,58.0,57.5,56.5,55.5,54.5,53.0,52.0,51.5,51.0,50.5,50.0,,
10_L82V-117G_ATP_t2,,57.5,57.5,58.0,57.5,56.5,55.5,54.5,53.0,52.0,51.5,51.0,50.0,50.0,,
11_L82V-164G_ATP_t1,55.0,55.5,56.0,56.0,56.0,55.0,54.5,53.5,52.5,51.5,50.5,50.0,49.5,49.5,49.0,
12_L82V-164G_ATP_t2,54.5,55.0,56.0,56.0,56.0,55.5,54.5,53.5,52.5,51.0,50.5,50.0,49.0,49.0,48.5,
13_L82V-117-164G_ATP_t1,,,,53.5,53.0,52.0,50.5,50.0,48.5,48.0,47.5,47.5,,47.0,,
14_L82V-117-164G_ATP_t2,,,,,53.5,52.5,50.5,49.5,48.0,48.5,47.0,48.0,47.0,46.0,,
15_WT_ATP_t1,,60.0,60.5,60.5,60.0,59.0,58.0,57.0,56.5,56.0,55.5,55.5,55.5,55.5,55.5,
16_WT_ATP_t2,,60.0,60.5,60.5,60.0,58.5,58.0,57.0,56.5,56.0,56.0,55.5,55.5,55.5,55.5,
